"name","dev-image","qa-image","uat-image","npd-image","prod-image","dev-replicas","qa-replicas","uat-replicas","npd-replicas","prod-replicas"
"udm-create-user-context-translator","snapshot:2025-02-14.194","candidate:2025-02-14.194","release:2025-02-14.194","release:2025-02-14.194","release:2025-02-05.179.e28f3939","1","1","0","0","0"
"udm-event-builder","snapshot:2025-02-14.194","candidate:2025-02-14.194","release:2025-02-14.194","release:2025-02-14.194","release:2025-02-05.179.e28f3939","1","1","1","1","1"
"udm-mailing-address-update-context-translator","snapshot:2025-02-14.194","candidate:2025-02-14.194","release:2025-02-14.194","release:2025-02-14.194","release:2025-02-05.179.e28f3939","1","1","3","3","3"
"udm-payment-reminder-context-translator","snapshot:2025-02-14.194","candidate:2025-02-14.194","release:2025-02-14.194","release:2025-02-14.194","release:2025-02-05.179.e28f3939","1","1","3","3","3"
"udm-phone-number-update-context-translator","snapshot:2025-02-14.194","candidate:2025-02-14.194","release:2025-02-14.194","release:2025-02-14.194","release:2025-02-05.179.e28f3939","1","1","3","3","3"
"udm-start-service-context-translator","snapshot:2025-02-14.194","candidate:2025-02-14.194","release:2025-02-14.194","release:2025-02-14.194","release:2025-02-05.179.e28f3939","1","1","3","3","3"
"user-activity-api","snapshot:2025-02-26.46.4cf570bc","candidate:2025-01-23.43.1bc1d57e","release:2025-01-23.43.1bc1d57e","release:2025-01-23.43.1bc1d57e","release:2025-01-23.43.1bc1d57e","1","1","1","1","1"
"user-api","snapshot:2025-02-25.228.555beea3","candidate:2025-02-25.228.555beea3","release:2025-02-19.212.62640fd8","release:2025-02-19.212.62640fd8","release:2025-02-12.205.06e60561","1","1","10","10","10"
"user-data-change-aggregator","snapshot:2025-02-25.228.555beea3","candidate:2025-02-25.228.555beea3","release:2025-02-19.212.62640fd8","release:2025-02-19.212.62640fd8","release:2025-02-12.205.06e60561","1","3","0","0","0"
"user-email-publisher","snapshot:2025-02-25.228.555beea3","candidate:2025-02-25.228.555beea3","release:2025-02-19.212.62640fd8","release:2025-02-19.212.62640fd8","release:2025-02-12.205.06e60561","1","1","0","0","0"
"user-event-orchestrator","snapshot:2025-02-25.228.555beea3","candidate:2025-02-25.228.555beea3","release:2025-02-19.212.62640fd8","release:2025-02-19.212.62640fd8","release:2025-02-12.205.06e60561","1","3","0","0","0"
"user-event-processor","snapshot:2025-02-25.228.555beea3","candidate:2025-02-25.228.555beea3","release:2025-02-19.212.62640fd8","release:2025-02-19.212.62640fd8","release:2025-02-12.205.06e60561","1","1","0","0","0"
"user-workflow-processor","snapshot:2025-02-25.228.555beea3","candidate:2025-02-25.228.555beea3","release:2025-02-19.212.62640fd8","release:2025-02-19.212.62640fd8","release:2025-02-12.205.06e60561","1","1","0","0","0"
"weather-api","snapshot:2025-01-30.63.37bcf42c","candidate:2024-11-06.61.049667d8","release:2024-11-06.61.049667d8","release:2024-11-06.61.049667d8","release:2024-11-06.61.049667d8","1","1","1","3","1"
"web-payment-event-builder","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","3","3","3","3"
